subjek,kategori,Judul Tabel,WebAPI URL
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Jumlah Penduduk Menurut Kelompok Umur dan Jenis Kelamin, 2025",https://webapi.bps.go.id/v1/api/interoperabilitas/datasource/simdasi/id/25/tahun/2025/id_tabel/YW40a21pdTU1cnJxOGt6dm43ZEdoZz09/wilayah/0000000/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Penduduk, Laju Pertumbuhan Penduduk, Distribusi Persentase Penduduk, Kepadatan Penduduk, Rasio Jenis Kelamin Penduduk Menurut Provinsi, 2025",https://webapi.bps.go.id/v1/api/interoperabilitas/datasource/simdasi/id/25/tahun/2025/id_tabel/WVRlTTcySlZDa3lUcFp6czNwbHl4QT09/wilayah/0000000/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Jumlah Penduduk Pertengahan Tahun (Ribu Jiwa), 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1975/th/124/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Proporsi penduduk yang hidup di bawah 50 persen dari median pendapatan, menurut provinsi, 2023",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2011/th/123/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Rata-rata Laju Pertumbuhan Penduduk menurut Provinsi, 1971 - 2024",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/1268/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Proporsi perempuan yang berada di posisi managerial, menurut status perkawinan, 2023",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2007/th/123/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Angka Kematian Balita (Under Five Mortality Rate/U5MR) Hasil Long Form SP2020 Menurut Provinsi, 2020",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/2218/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Angka Kematian Ibu/AKI (Maternal Mortality Rate/MMR) Hasil Long Form SP2020 Menurut Provinsi, 2020",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/2219/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Angka Kematian Anak (Child Mortality Rate/CMR) Hasil Long Form SP2020 Menurut Provinsi, 2020",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/2217/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Angka Kematian Anak (Child Mortality Rate/CMR) Hasil Long Form SP2020 Menurut Provinsi/Kabupaten/Kota, 2020",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/2221/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Angka Kematian Bayi/AKB (Infant Mortality Rate/IMR) Hasil Long Form SP2020 Menurut Provinsi/Kabupaten/Kota, 2020",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/2220/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Angka Kematian Balita (Under Five Mortality Rate/U5MR) Hasil Long Form SP2020 Menurut Provinsi/Kabupaten/Kota, 2020",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/2222/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Angka Kelahiran Kasar (Crude Birth Rate) Hasil Long Form SP2020 Menurut Provinsi/Kabupaten/Kota, 2020",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/2213/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Angka Kelahiran Hasil Long Form SP2020 Menurut Kelompok Umur Ibu (Age Spesific Fertility Rate/ASFR) dan Provinsi/Kabupaten/Kota, 2020",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/2215/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Angka Kelahiran Total / Total Fertility Rate (TFR) Hasil Long Form (LF) SP2020 Menurut Provinsi/Kabupaten/Kota, 2020",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/2211/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Kepadatan Penduduk menurut Provinsi (jiwa/km2), 2021",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/141/th/121/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Angka Kelahiran Total / Total Fertility Rate (TFR) Menurut Provinsi, 1971-2020",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/2210/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Angka Kematian Bayi/AKB (Infant Mortality Rate/IMR) Menurut Provinsi , 1971-2020",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/2216/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,Angka Kelahiran menurut Kelompok Umur Ibu (Age Spesific Fertility Rate/ASFR) Menurut Provinsi 1971-2020,https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/2214/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Angka Kelahiran Kasar (Crude Birth Rate/CBR) Menurut Provinsi, 1990-2020",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/2212/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Jumlah Penduduk Hasil Sensus Penduduk (SP) dan Survei Penduduk Antar Sensus (SUPAS) menurut Provinsi, 1971 - 2015",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/1267/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Jumlah Penduduk Hasil Proyeksi Menurut Provinsi dan Jenis Kelamin (Ribu Jiwa), 2020",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1886/th/120/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,Laporan Survei Demografi dan Kesehatan Indonesia,https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/2111/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Persentase Penduduk Daerah Perkotaan Hasil Proyeksi Penduduk menurut Provinsi, 2015 - 2035",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/1276/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Rumah Tangga dan Rata-rata Banyaknya Anggota Rumah Tangga Menurut Provinsi, 2019",https://webapi.bps.go.id/v1/api/interoperabilitas/datasource/simdasi/id/25/tahun/2019/id_tabel/bmc3elVuWGROc3JRL3RPQTBrU2dadz09/wilayah/0000000/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Dependency Ratio Hasil Proyeksi Penduduk, 2035",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/120/th/135/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Jumlah Penduduk Hasil SP2020 Laki-laki Menurut Wilayah, Kelompok Umur (Orang), 2020",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2135/th/120/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Jumlah Penduduk Hasil SP2020 menurut Wilayah dan Jenis Kelamin (Orang), 2020",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2131/th/120/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Jumlah Penduduk Hasil SP2020 Perempuan Menurut Wilayah, Kelompok Umur (Orang), 2020",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2137/th/120/key/921504506b78d644648e514971ac0d28
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Penduduk Berumur 10 Tahun ke Atas menurut status perkawinan, Laki-Laki+Perempuan (Persen), 2015",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/527/th/115/key/921504506b78d644648e514971ac0d28
