subjek,kategori,tabel,endpoint
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Jumlah Penduduk Menurut Kelompok Umur dan Jenis Kelamin, 2025",https://webapi.bps.go.id/v1/api/interoperabilitas/datasource/simdasi/id/25/tahun/2025/id_tabel/YW40a21pdTU1cnJxOGt6dm43ZEdoZz09/wilayah/0000000/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Tenaga Kerja,"Persentase anak usia 10-17 tahun yang bekerja menurut provinsi (Persen), 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2008/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Pendidikan,"Persentase penduduk usia 25 Tahun keatas dengan pendidikan SMA ke atas menurut jenis kelamin (Persen), 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2199/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kesehatan,"Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin (Tahun), 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/455/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Konsumsi dan Pendapatan,"Prevalensi Ketidakcukupan Konsumsi Pangan (Persen) Per Kabupaten/kota (Persen), 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2269/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Perlindungan Sosial,"Jumlah Keluarga Penerima Manfaat (KPM) dan Anggaran Bantuan Sosial Pangan Menurut Provinsi, 2024",https://webapi.bps.go.id/v1/api/interoperabilitas/datasource/simdasi/id/25/tahun/2024/id_tabel/Mkt1SFdWbWdZa1hKZ2FtRU1NaHRsUT09/wilayah/0000000/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Pemukiman dan Perumahan,"Persentase Rumah Tangga menurut Daerah Tempat Tinggal , Kelompok Umur, Jenis Kelamin Kepala Rumah Tangga, dan Status Perkawinan, 2009-2024",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/1605/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Hukum dan Kriminal,"Selang Waktu Terjadi Tindak Pidana Menurut Kepolisian Daerah, 2000 - 2023",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/1571/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Budaya,"Jumlah Jemaah Haji yang Diberangkatkan ke Tanah Suci Mekah Menurut Provinsi, 2024",https://webapi.bps.go.id/v1/api/interoperabilitas/datasource/simdasi/id/25/tahun/2024/id_tabel/eVp0d2JDQmlzZzRVc2FESkNvZThPdz09/wilayah/0000000/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Aktivitas Politik dan Komunitas Lainnya,"Realisasi Investasi Penanaman Modal Luar Negeri Triwulanan Menurut Sektor Ekonomi - Jumlah Investasi (Juta US$), 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2378/key/[WebAPI_KEY]
Statistik Ekonomi,Statistik Makroekonomi,"Total Ekonomi - Neraca Institusi Terintegrasi ( triliun rupiah), 2016 - 2023",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/2181/key/[WebAPI_KEY]
Statistik Ekonomi,Neraca Ekonomi,"[SERI 2010] 1. PDRB Atas Dasar Harga Berlaku Menurut Pengeluaran (Milyar Rupiah), 2025",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/534/key/[WebAPI_KEY]
Statistik Ekonomi,Statistik Bisnis,"Margin Perdagangan dan Pengangkutan (MPP) Komoditas Ikan Kembung Menurut Provinsi, 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2266/key/[WebAPI_KEY]
