subjek,kategori,tabel_ringkas,tabel_lengkap,endpoint
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Jumlah Penduduk Menurut Kelompok Umur dan Jenis Kelamin (ribu jiwa), 2018 - 2025","Jumlah Penduduk Menurut Kelompok Umur dan Jenis Kelamin, 2025",https://webapi.bps.go.id/v1/api/interoperabilitas/datasource/simdasi/id/25/tahun/2025/id_tabel/YW40a21pdTU1cnJxOGt6dm43ZEdoZz09/wilayah/0000000/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Jumlah Penduduk, Laju Pertumbuhan Penduduk, Distribusi Persentase Penduduk, Kepadatan Penduduk, Rasio Jenis Kelamin Penduduk Menurut Provinsi, 2010 - 2025","Penduduk, Laju Pertumbuhan Penduduk, Distribusi Persentase Penduduk, Kepadatan Penduduk, Rasio Jenis Kelamin Penduduk Menurut Provinsi, 2025",https://webapi.bps.go.id/v1/api/interoperabilitas/datasource/simdasi/id/25/tahun/2025/id_tabel/WVRlTTcySlZDa3lUcFp6czNwbHl4QT09/wilayah/0000000/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Nikah dan Cerai Menurut Provinsi (kejadian), 2018 - 2024","Nikah dan Cerai Menurut Provinsi (kejadian), 2024",https://webapi.bps.go.id/v1/api/interoperabilitas/datasource/simdasi/id/25/tahun/2024/id_tabel/VHpUK3MrOVd6dTJjcHdoQ1Z6TGlmUT09/wilayah/0000000/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Jumlah Perceraian Menurut Provinsi dan Faktor Penyebab Perceraian (perkara), 2018 - 2024","Jumlah Perceraian Menurut Provinsi dan Faktor Penyebab Perceraian (perkara), 2024",https://webapi.bps.go.id/v1/api/interoperabilitas/datasource/simdasi/id/25/tahun/2024/id_tabel/aWhSR0ViS3hxc1hWZlZEbExjNVpDUT09/wilayah/0000000/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Persentase Rumah Tangga menurut Provinsi, Jenis Kelamin Kepala Rumah Tangga, dan Banyaknya Anggota Rumah Tangga, 2009-2024","Persentase Rumah Tangga menurut Provinsi, Jenis Kelamin Kepala Rumah Tangga, dan Banyaknya Anggota Rumah Tangga, 2009-2024",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/1603/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Jumlah Penduduk Pertengahan Tahun (Ribu Jiwa), 1960 - 2024","Jumlah Penduduk Pertengahan Tahun (Ribu Jiwa), 2024",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/1975/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Proporsi penduduk yang hidup di bawah 50 persen dari median pendapatan, menurut provinsi, 2018 - 2023","Proporsi penduduk yang hidup di bawah 50 persen dari median pendapatan, menurut provinsi, 2023",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2011/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Rata-rata Laju Pertumbuhan Penduduk menurut Provinsi, 1971 - 2024","Rata-rata Laju Pertumbuhan Penduduk menurut Provinsi, 1971 - 2024",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/1268/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Proporsi perempuan yang berada di posisi managerial, menurut status perkawinan, 2015 - 2023","Proporsi perempuan yang berada di posisi managerial, menurut status perkawinan, 2023",https://webapi.bps.go.id/v1/api/list/model/data/lang/ind/domain/0000/var/2007/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Angka Kematian Balita (Under Five Mortality Rate/U5MR) Hasil Long Form SP2020 Menurut Provinsi, 2020","Angka Kematian Balita (Under Five Mortality Rate/U5MR) Hasil Long Form SP2020 Menurut Provinsi, 2020",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/2218/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Angka Kematian Ibu/AKI (Maternal Mortality Rate/MMR) Hasil Long Form SP2020 Menurut Provinsi, 2020","Angka Kematian Ibu/AKI (Maternal Mortality Rate/MMR) Hasil Long Form SP2020 Menurut Provinsi, 2020",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/2219/key/[WebAPI_KEY]
Statistik Demografi dan Sosial,Kependudukan dan Migrasi,"Angka Kematian Anak (Child Mortality Rate/CMR) Hasil Long Form SP2020 Menurut Provinsi, 2020","Angka Kematian Anak (Child Mortality Rate/CMR) Hasil Long Form SP2020 Menurut Provinsi, 2020",https://webapi.bps.go.id/v1/api/view/domain/0000/model/statictable/lang/ind/id/2217/key/[WebAPI_KEY]
